State,County,Candidate,Party,Votes,Vote %
Alabama,autauga,Donald Trump,Republican,18172,0.7276658791494814
Alabama,baldwin,Donald Trump,Republican,72883,0.765457123352413
Alabama,barbour,Donald Trump,Republican,5454,0.5209666634826631
Alabama,bibb,Donald Trump,Republican,6738,0.7640322031976414
Alabama,blount,Donald Trump,Republican,22859,0.8933484445833985
Alabama,bullock,Hillary Clinton,Democratic,3530,0.7494692144373672
Alabama,butler,Donald Trump,Republican,4901,0.5612688960146587
Alabama,calhoun,Donald Trump,Republican,32865,0.6866329600534848
Alabama,chambers,Donald Trump,Republican,7843,0.5642446043165468
Alabama,cherokee,Donald Trump,Republican,8953,0.8341563402590143
Alabama,chilton,Donald Trump,Republican,15081,0.8210027764167892
Alabama,choctaw,Donald Trump,Republican,4106,0.5630828304991772
Alabama,clarke,Donald Trump,Republican,7140,0.5479241807996317
Alabama,clay,Donald Trump,Republican,5245,0.7918176328502415
Alabama,cleburne,Donald Trump,Republican,5764,0.8742605794023964
Alabama,coffee,Donald Trump,Republican,15875,0.7644339577213849
Alabama,colbert,Donald Trump,Republican,16746,0.6721252257676099
Alabama,conecuh,Donald Trump,Republican,3420,0.5193621867881549
Alabama,coosa,Donald Trump,Republican,3381,0.6437547600913938
Alabama,covington,Donald Trump,Republican,13267,0.8323086574654956
Alabama,crenshaw,Donald Trump,Republican,4513,0.720121270145205
Alabama,cullman,Donald Trump,Republican,32989,0.8710426953238455
Alabama,dale,Donald Trump,Republican,13808,0.7364659448503921
Alabama,dallas,Hillary Clinton,Democratic,12836,0.6830566198382291
Alabama,dekalb,Donald Trump,Republican,21405,0.8288159219391311
Alabama,elmore,Donald Trump,Republican,27634,0.7416532474503489
Alabama,escambia,Donald Trump,Republican,9935,0.6692489053553385
Alabama,etowah,Donald Trump,Republican,32353,0.7325649850557014
Alabama,fayette,Donald Trump,Republican,6712,0.813674384773912
Alabama,franklin,Donald Trump,Republican,9466,0.7862126245847176
Alabama,geneva,Donald Trump,Republican,9994,0.8499744854567103
Alabama,greene,Hillary Clinton,Democratic,4013,0.8223360655737705
Alabama,hale,Hillary Clinton,Democratic,4775,0.5939054726368159
Alabama,henry,Donald Trump,Republican,5632,0.6977205153617443
Alabama,houston,Donald Trump,Republican,30728,0.7206547995966134
Alabama,jackson,Donald Trump,Republican,16672,0.79451010293557
Alabama,jefferson,Hillary Clinton,Democratic,156873,0.5157055928676391
Alabama,lamar,Donald Trump,Republican,5823,0.8359173126614987
Alabama,lauderdale,Donald Trump,Republican,27899,0.7058570524984187
Alabama,lawrence,Donald Trump,Republican,10833,0.730528019421404
Alabama,lee,Donald Trump,Republican,34617,0.5848355324289165
Alabama,limestone,Donald Trump,Republican,29067,0.7213729091179828
Alabama,lowndes,Hillary Clinton,Democratic,4883,0.7305505685218432
Alabama,macon,Hillary Clinton,Democratic,7566,0.8277899343544858
Alabama,madison,Donald Trump,Republican,89520,0.5478949011255347
Alabama,marengo,Hillary Clinton,Democratic,5615,0.5107331271602692
Alabama,marion,Donald Trump,Republican,11274,0.8682994454713494
Alabama,marshall,Donald Trump,Republican,29233,0.8277551251557368
Alabama,mobile,Donald Trump,Republican,95116,0.5506405691889983
Alabama,monroe,Donald Trump,Republican,5795,0.564209911401032
Alabama,montgomery,Hillary Clinton,Democratic,58916,0.6144892467510795
Alabama,morgan,Donald Trump,Republican,37486,0.7401863991785799
Alabama,perry,Hillary Clinton,Democratic,3824,0.7245168624478969
Alabama,pickens,Donald Trump,Republican,5456,0.5717878851393837
Alabama,pike,Donald Trump,Republican,7693,0.5842193195625759
Alabama,randolph,Donald Trump,Republican,7705,0.756356140178659
Alabama,russell,Hillary Clinton,Democratic,9579,0.49745533859576235
Alabama,st. clair,Donald Trump,Republican,31651,0.8242447916666666
Alabama,shelby,Donald Trump,Republican,73020,0.7211566950441464
Alabama,sumter,Hillary Clinton,Democratic,4746,0.740290126345344
Alabama,talladega,Donald Trump,Republican,20614,0.617056305564702
Alabama,tallapoosa,Donald Trump,Republican,13594,0.6976290670224776
Alabama,tuscaloosa,Donald Trump,Republican,47723,0.577061668681983
Alabama,walker,Donald Trump,Republican,24266,0.82335776330076
Alabama,washington,Donald Trump,Republican,6042,0.7080745341614907
Alabama,wilcox,Hillary Clinton,Democratic,4339,0.709218698921216
Alabama,winston,Donald Trump,Republican,9228,0.8947929797343159
Arizona,apache,Hillary Clinton,Democratic,17083,0.6175843245001988
Arizona,cochise,Donald Trump,Republican,28092,0.5616714985504349
Arizona,coconino,Hillary Clinton,Democratic,32404,0.5420179312190553
Arizona,gila,Donald Trump,Republican,14182,0.6356220867694514
Arizona,graham,Donald Trump,Republican,8025,0.6613647601780122
Arizona,greenlee,Donald Trump,Republican,1892,0.5785932721712538
Arizona,la paz,Donald Trump,Republican,4003,0.6726600571332549
Arizona,maricopa,Donald Trump,Republican,747361,0.4766837560609095
Arizona,mohave,Donald Trump,Republican,58282,0.7290444441664686
Arizona,navajo,Donald Trump,Republican,20577,0.5106715640045665
Arizona,pima,Hillary Clinton,Democratic,224661,0.5328265819182241
