State,County,Rep. Pres. Vote %,Dem. Pres. Vote %,Rep. House Vote %,Dem. House Vote %,Rep. Senate Vote %,Dem. Senate Vote %,Avg. Rep. Vote %,Avg. Dem. Vote %,Higher Avg. %
Louisiana,cameron,88.19,8.75,94.69,4.47,89.68,8.37,90.33,6.67,90.33
South Dakota,haakon,89.66,7.38,89.47,10.53,91.92,8.08,89.67,8.33,89.67
South Dakota,harding,90.26,4.94,89.8,10.2,90.22,9.78,89.67,7.67,89.67
Alabama,blount,89.33,8.43,90.18,9.63,87.98,11.83,88.67,9.33,88.67
Oklahoma,harper,87.93,8.94,90.51,9.49,89.73,6.43,88.67,7.67,88.67
Oklahoma,beaver,88.85,7.85,90.2,9.8,87.31,7.61,88.33,7.67,88.33
Oklahoma,cimarron,89.25,6.58,92.09,7.91,84.95,7.24,88.33,6.67,88.33
Oklahoma,ellis,88.18,8.48,89.09,10.91,88.4,7.39,88.33,8.33,88.33
Oklahoma,dewey,87.41,9.88,89.35,10.65,88.35,8.26,88.0,9.0,88.0
Oklahoma,major,86.53,9.1,89.16,10.84,89.05,6.64,88.0,8.33,88.0
Oklahoma,roger mills,87.95,8.58,89.05,10.95,87.98,8.24,87.67,8.67,87.67
Maryland,prince george's,8.4,88.13,8.52,87.92,8.93,87.67,8.0,87.33,87.33
Utah,piute,85.87,6.45,88.71,7.57,89.89,7.58,87.33,6.67,87.33
Alabama,cleburne,87.43,10.37,87.95,11.98,86.69,13.22,86.67,11.33,86.67
Oklahoma,alfalfa,85.61,9.57,88.64,11.36,87.62,7.47,86.67,9.0,86.67
Oklahoma,kingfisher,84.1,12.82,88.37,11.63,86.93,8.56,86.0,10.33,86.0
South Dakota,campbell,84.72,12.64,84.62,15.38,89.48,10.52,85.67,12.33,85.67
Florida,holmes,87.89,10.02,84.65,14.35,83.54,11.58,84.67,11.67,84.67
Louisiana,livingston,84.57,12.04,88.21,8.8,82.15,15.23,84.67,11.67,84.67
Oklahoma,washita,83.22,12.7,87.03,12.97,84.16,11.44,84.67,11.67,84.67
Oklahoma,woodward,83.57,11.49,87.62,12.38,84.77,9.99,84.67,10.67,84.67
Pennsylvania,philadelphia,15.37,82.53,9.42,90.58,17.03,81.79,13.67,84.33,84.33
Iowa,sioux,81.26,12.64,83.33,16.52,88.68,9.53,84.0,12.33,84.0
Utah,emery,79.86,8.86,87.2,12.8,86.0,10.83,84.0,10.0,84.0
New York,bronx,9.46,88.52,5.08,82.74,5.38,81.71,6.33,83.67,83.67
Oklahoma,beckham,83.53,12.71,85.96,14.04,83.62,11.54,83.67,12.33,83.67
South Dakota,perkins,83.0,11.71,83.99,16.01,85.61,14.39,83.67,13.67,83.67
Kansas,kiowa,83.41,10.57,80.92,7.48,87.96,7.69,83.33,8.0,83.33
Maryland,baltimore city,10.53,84.66,11.3,84.97,12.49,82.6,11.0,83.33,83.33
Oklahoma,grant,83.01,13.08,82.15,17.85,85.19,9.37,83.33,13.0,83.33
South Dakota,douglas,83.36,13.33,82.81,17.19,85.79,14.21,83.33,14.67,83.33
South Dakota,jones,80.65,12.37,82.0,18.0,88.06,11.94,83.33,13.67,83.33
Oklahoma,woods,80.34,14.23,86.07,13.93,83.42,11.09,83.0,12.67,83.0
Utah,duchesne,79.34,7.2,83.61,10.36,87.82,9.02,83.0,8.67,83.0
Iowa,lyon,81.42,14.43,82.04,17.8,85.19,12.17,82.67,14.33,82.67
Louisiana,vermilion,78.27,18.95,90.34,8.67,80.72,15.34,82.67,13.67,82.67
Nevada,eureka,84.66,8.67,83.91,10.2,81.51,10.37,82.67,9.33,82.67
Utah,sevier,77.88,8.03,85.25,9.66,86.85,9.76,82.67,8.67,82.67
Alabama,cherokee,83.42,14.41,83.55,16.33,81.8,18.14,82.33,16.0,82.33
Colorado,washington,84.12,10.83,86.88,9.42,77.42,19.5,82.33,12.67,82.33
Louisiana,acadia,77.26,20.58,89.66,9.69,81.58,16.47,82.33,15.0,82.33
Ohio,putnam,79.72,15.57,86.9,13.1,82.7,13.69,82.33,13.67,82.33
Alabama,chilton,82.1,15.85,83.04,16.9,81.31,18.55,82.0,16.33,82.0
Alabama,macon,15.66,82.78,17.76,82.16,17.25,82.65,16.33,82.0,82.0
Louisiana,beauregard,81.16,15.87,83.01,13.85,82.27,15.56,82.0,14.33,82.0
Ohio,mercer,80.58,15.58,83.19,15.39,83.07,13.61,82.0,14.33,82.0
Kansas,comanche,82.47,11.76,79.25,10.03,84.53,11.32,81.67,10.67,81.67
South Dakota,oglala lakota,8.3,86.4,17.89,82.11,22.81,77.19,15.67,81.67,81.67
Kansas,nemaha,80.52,14.15,81.62,14.49,83.77,13.01,81.33,13.67,81.33
Louisiana,orleans,14.65,80.81,8.73,89.77,21.79,75.7,14.33,81.33,81.33
Ohio,auglaize,78.97,16.85,83.0,17.0,83.06,13.02,81.33,15.33,81.33
Utah,uintah,76.66,7.78,82.16,15.68,86.51,9.7,81.33,10.33,81.33
Kansas,chautauqua,83.46,13.3,79.19,11.91,81.07,13.53,81.0,12.33,81.0
Louisiana,sabine,80.5,17.4,85.0,13.21,78.43,20.12,81.0,16.67,81.0
Louisiana,vernon,80.99,16.02,83.45,13.93,80.88,16.44,81.0,15.0,81.0
Missouri,mercer,85.16,12.38,86.0,11.73,72.37,23.28,81.0,15.33,81.0
Ohio,holmes,78.89,16.18,85.42,10.98,80.85,14.39,81.0,13.33,81.0
Colorado,cheyenne,83.94,11.98,84.87,11.79,75.96,20.18,80.67,14.0,80.67
Kansas,elk,83.24,12.71,78.36,12.8,81.02,12.33,80.67,12.0,80.67
Ohio,shelby,78.31,17.87,82.86,17.14,82.47,13.47,80.67,15.67,80.67
South Dakota,mcpherson,78.45,16.89,79.59,20.41,85.95,14.05,80.67,16.67,80.67
Missouri,barton,83.5,13.39,83.91,12.9,75.77,20.83,80.33,15.0,80.33
Oklahoma,texas,79.95,14.84,84.04,15.96,78.71,13.37,80.33,14.0,80.33
Pennsylvania,potter,80.31,16.73,84.22,15.78,77.79,18.01,80.33,16.33,80.33
Utah,millard,73.64,8.22,80.16,8.76,88.22,9.04,80.33,8.33,80.33
Utah,rich,71.87,9.38,83.96,11.71,87.62,9.94,80.33,9.67,80.33
Colorado,rio blanco,80.9,12.64,82.06,14.54,78.25,17.78,80.0,14.33,80.0
Kansas,stafford,78.59,16.03,79.83,10.78,83.45,12.28,80.0,12.67,80.0
Louisiana,jefferson davis,75.47,21.57,86.53,12.49,79.04,18.64,80.0,17.0,80.0
Missouri,putnam,82.52,15.05,84.01,13.95,74.88,21.31,80.0,16.33,80.0
Idaho,franklin,70.94,7.0,84.41,8.77,85.31,8.04,79.67,7.67,79.67
Utah,beaver,73.79,10.6,82.38,13.05,84.97,12.08,79.67,11.67,79.67
Idaho,bear lake,75.24,8.71,81.48,11.05,82.88,9.99,79.33,9.33,79.33
Missouri,wright,82.61,14.41,83.19,14.51,73.29,22.69,79.33,16.67,79.33
Ohio,darke,78.53,17.54,79.95,16.26,81.86,13.96,79.33,15.33,79.33
Oklahoma,stephens,79.21,17.24,80.74,16.33,79.12,15.6,79.33,16.0,79.33
South Dakota,butte,77.15,16.0,79.22,20.78,82.44,17.56,79.33,17.67,79.33
Florida,lafayette,82.81,15.27,79.41,18.15,76.43,19.88,79.0,17.33,79.0
Georgia,appling,78.35,20.45,80.5,19.5,79.39,18.23,79.0,19.0,79.0
Idaho,oneida,74.03,8.9,80.99,10.93,83.53,10.01,79.0,9.33,79.0
Iowa,osceola,78.77,17.18,77.34,22.6,82.76,14.48,79.0,17.67,79.0
Missouri,bollinger,85.04,12.42,81.91,15.27,71.61,24.59,79.0,17.0,79.0
Missouri,st. louis city,15.88,79.45,17.94,77.14,14.95,81.75,15.33,79.0,79.0
Oklahoma,blaine,76.03,18.75,81.6,18.4,80.09,14.51,79.0,16.67,79.0
Oklahoma,cotton,78.94,16.3,81.62,15.73,78.1,15.03,79.0,15.33,79.0
Alabama,clay,79.18,18.67,79.84,20.1,78.84,21.09,78.67,19.67,78.67
Florida,baker,81.48,16.72,76.25,23.75,79.3,17.1,78.67,18.67,78.67
Kansas,edwards,78.62,16.07,77.44,11.74,81.54,12.56,78.67,13.0,78.67
Kansas,wilson,77.64,16.54,81.06,14.29,78.78,15.27,78.67,15.0,78.67
Oklahoma,jefferson,81.28,15.53,81.23,16.88,74.68,18.94,78.67,16.33,78.67
Oklahoma,lincoln,77.39,17.33,80.38,19.62,79.75,14.27,78.67,16.67,78.67
Oklahoma,mcclain,78.12,17.17,79.62,16.35,79.67,14.16,78.67,15.67,78.67
Pennsylvania,fulton,84.09,13.47,71.3,28.7,81.06,15.23,78.67,18.67,78.67
Kentucky,lewis,82.35,14.82,82.43,17.57,71.34,28.66,78.33,19.67,78.33
Missouri,douglas,82.3,14.76,82.31,14.62,71.31,23.35,78.33,17.0,78.33
Oklahoma,grady,77.7,17.42,79.19,16.84,79.41,14.46,78.33,15.67,78.33
Oklahoma,greer,78.16,17.04,80.98,19.02,77.98,16.86,78.33,17.33,78.33
Oklahoma,noble,76.16,18.47,81.49,18.51,78.76,15.65,78.33,17.0,78.33
Colorado,kit carson,80.15,14.48,83.1,13.82,71.8,24.62,78.0,17.0,78.0
Colorado,yuma,80.36,15.15,83.65,13.95,71.1,26.29,78.0,18.0,78.0
Florida,union,80.22,17.81,77.5,20.27,77.17,19.04,78.0,18.67,78.0
Idaho,idaho,78.23,14.53,79.02,20.98,77.31,15.37,78.0,16.33,78.0
Iowa,o'brien,77.67,17.76,74.69,25.17,83.19,14.51,78.0,18.67,78.0
Missouri,dent,82.46,14.4,84.23,13.67,68.76,26.53,78.0,17.67,78.0
Missouri,stoddard,83.36,14.11,81.82,15.72,70.44,25.9,78.0,18.0,78.0
