state,county,candidate,party,candidatevotes,totalvotes
Alabama,autauga,Hillary Clinton,Democratic,5936,24973
Alabama,autauga,Donald Trump,Republican,18172,24973
Alabama,autauga,Other,Other,865,24973
Alabama,baldwin,Hillary Clinton,Democratic,18458,95215
Alabama,baldwin,Donald Trump,Republican,72883,95215
Alabama,baldwin,Other,Other,3874,95215
Alabama,barbour,Hillary Clinton,Democratic,4871,10469
Alabama,barbour,Donald Trump,Republican,5454,10469
Alabama,barbour,Other,Other,144,10469
Alabama,bibb,Hillary Clinton,Democratic,1874,8819
Alabama,bibb,Donald Trump,Republican,6738,8819
Alabama,bibb,Other,Other,207,8819
Alabama,blount,Hillary Clinton,Democratic,2156,25588
Alabama,blount,Donald Trump,Republican,22859,25588
Alabama,blount,Other,Other,573,25588
Alabama,bullock,Hillary Clinton,Democratic,3530,4710
Alabama,bullock,Donald Trump,Republican,1140,4710
Alabama,bullock,Other,Other,40,4710
Alabama,butler,Hillary Clinton,Democratic,3726,8732
Alabama,butler,Donald Trump,Republican,4901,8732
Alabama,butler,Other,Other,105,8732
Alabama,calhoun,Hillary Clinton,Democratic,13242,47864
Alabama,calhoun,Donald Trump,Republican,32865,47864
Alabama,calhoun,Other,Other,1757,47864
Alabama,chambers,Hillary Clinton,Democratic,5784,13900
Alabama,chambers,Donald Trump,Republican,7843,13900
Alabama,chambers,Other,Other,273,13900
Alabama,cherokee,Hillary Clinton,Democratic,1547,10733
Alabama,cherokee,Donald Trump,Republican,8953,10733
Alabama,cherokee,Other,Other,233,10733
Alabama,chilton,Hillary Clinton,Democratic,2911,18369
Alabama,chilton,Donald Trump,Republican,15081,18369
Alabama,chilton,Other,Other,377,18369
Alabama,choctaw,Hillary Clinton,Democratic,3109,7292
Alabama,choctaw,Donald Trump,Republican,4106,7292
Alabama,choctaw,Other,Other,77,7292
Alabama,clarke,Hillary Clinton,Democratic,5749,13031
Alabama,clarke,Donald Trump,Republican,7140,13031
Alabama,clarke,Other,Other,142,13031
Alabama,clay,Hillary Clinton,Democratic,1237,6624
Alabama,clay,Donald Trump,Republican,5245,6624
Alabama,clay,Other,Other,142,6624
Alabama,cleburne,Hillary Clinton,Democratic,684,6593
Alabama,cleburne,Donald Trump,Republican,5764,6593
Alabama,cleburne,Other,Other,145,6593
Alabama,coffee,Hillary Clinton,Democratic,4221,20767
Alabama,coffee,Donald Trump,Republican,15875,20767
Alabama,coffee,Other,Other,671,20767
Alabama,colbert,Hillary Clinton,Democratic,7312,24915
Alabama,colbert,Donald Trump,Republican,16746,24915
Alabama,colbert,Other,Other,857,24915
Alabama,conecuh,Hillary Clinton,Democratic,3080,6585
Alabama,conecuh,Donald Trump,Republican,3420,6585
Alabama,conecuh,Other,Other,85,6585
Alabama,coosa,Hillary Clinton,Democratic,1782,5252
Alabama,coosa,Donald Trump,Republican,3381,5252
Alabama,coosa,Other,Other,89,5252
Alabama,covington,Hillary Clinton,Democratic,2387,15940
Alabama,covington,Donald Trump,Republican,13267,15940
Alabama,covington,Other,Other,286,15940
Alabama,crenshaw,Hillary Clinton,Democratic,1664,6267
Alabama,crenshaw,Donald Trump,Republican,4513,6267
Alabama,crenshaw,Other,Other,90,6267
Alabama,cullman,Hillary Clinton,Democratic,3798,37873
Alabama,cullman,Donald Trump,Republican,32989,37873
Alabama,cullman,Other,Other,1086,37873
Alabama,dale,Hillary Clinton,Democratic,4413,18749
Alabama,dale,Donald Trump,Republican,13808,18749
Alabama,dale,Other,Other,528,18749
Alabama,dallas,Hillary Clinton,Democratic,12836,18792
Alabama,dallas,Donald Trump,Republican,5789,18792
Alabama,dallas,Other,Other,167,18792
Alabama,dekalb,Hillary Clinton,Democratic,3622,25826
Alabama,dekalb,Donald Trump,Republican,21405,25826
Alabama,dekalb,Other,Other,799,25826
Alabama,elmore,Hillary Clinton,Democratic,8443,37260
Alabama,elmore,Donald Trump,Republican,27634,37260
Alabama,elmore,Other,Other,1183,37260
Alabama,escambia,Hillary Clinton,Democratic,4605,14845
Alabama,escambia,Donald Trump,Republican,9935,14845
Alabama,escambia,Other,Other,305,14845
Alabama,etowah,Hillary Clinton,Democratic,10442,44164
Alabama,etowah,Donald Trump,Republican,32353,44164
Alabama,etowah,Other,Other,1369,44164
Alabama,fayette,Hillary Clinton,Democratic,1362,8249
Alabama,fayette,Donald Trump,Republican,6712,8249
Alabama,fayette,Other,Other,175,8249
Alabama,franklin,Hillary Clinton,Democratic,2197,12040
Alabama,franklin,Donald Trump,Republican,9466,12040
Alabama,franklin,Other,Other,377,12040
