state,county_name,candidate,party,mode,votes,Total Votes
Alabama,autauga,Write in,Other,regular,56,24613
Alabama,autauga,Ron Crumpton,Democratic,regular,6049,24613
Alabama,autauga,Richard C. Shelby,Republican,regular,17237,24613
Alabama,autauga,Write in,Other,absentee,6,24613
Alabama,autauga,Ron Crumpton,Democratic,absentee,282,24613
Alabama,autauga,Richard C. Shelby,Republican,absentee,983,24613
Alabama,baldwin,Write in,Other,absentee,16,93414
Alabama,baldwin,Ron Crumpton,Democratic,absentee,927,93414
Alabama,baldwin,Richard C. Shelby,Republican,absentee,3442,93414
Alabama,baldwin,Write in,Other,regular,232,93414
Alabama,baldwin,Ron Crumpton,Democratic,regular,18218,93414
Alabama,baldwin,Richard C. Shelby,Republican,regular,70579,93414
Alabama,barbour,Ron Crumpton,Democratic,absentee,346,10229
Alabama,barbour,Richard C. Shelby,Republican,absentee,319,10229
Alabama,barbour,Write in,Other,regular,16,10229
Alabama,barbour,Ron Crumpton,Democratic,regular,4431,10229
Alabama,barbour,Richard C. Shelby,Republican,regular,5117,10229
Alabama,bibb,Ron Crumpton,Democratic,absentee,49,8711
Alabama,bibb,Richard C. Shelby,Republican,absentee,190,8711
Alabama,bibb,Write in,Other,regular,17,8711
Alabama,bibb,Ron Crumpton,Democratic,regular,2033,8711
Alabama,bibb,Richard C. Shelby,Republican,regular,6422,8711
Alabama,blount,Ron Crumpton,Democratic,absentee,111,25139
Alabama,blount,Richard C. Shelby,Republican,absentee,626,25139
Alabama,blount,Write in,Other,regular,48,25139
Alabama,blount,Ron Crumpton,Democratic,regular,2863,25139
Alabama,blount,Richard C. Shelby,Republican,regular,21491,25139
Alabama,bullock,Ron Crumpton,Democratic,absentee,259,4536
Alabama,bullock,Richard C. Shelby,Republican,absentee,53,4536
Alabama,bullock,Write in,Other,regular,6,4536
Alabama,bullock,Ron Crumpton,Democratic,regular,3105,4536
Alabama,bullock,Richard C. Shelby,Republican,regular,1113,4536
Alabama,butler,Ron Crumpton,Democratic,absentee,169,8510
Alabama,butler,Richard C. Shelby,Republican,absentee,78,8510
Alabama,butler,Write in,Other,regular,7,8510
Alabama,butler,Ron Crumpton,Democratic,regular,3494,8510
Alabama,butler,Richard C. Shelby,Republican,regular,4762,8510
Alabama,calhoun,Write in,Other,absentee,3,47197
Alabama,calhoun,Ron Crumpton,Democratic,absentee,443,47197
Alabama,calhoun,Richard C. Shelby,Republican,absentee,973,47197
Alabama,calhoun,Write in,Other,regular,66,47197
Alabama,calhoun,Ron Crumpton,Democratic,regular,13709,47197
Alabama,calhoun,Richard C. Shelby,Republican,regular,32003,47197
Alabama,chambers,Ron Crumpton,Democratic,absentee,196,13728
Alabama,chambers,Richard C. Shelby,Republican,absentee,332,13728
Alabama,chambers,Write in,Other,regular,18,13728
Alabama,chambers,Ron Crumpton,Democratic,regular,5649,13728
Alabama,chambers,Richard C. Shelby,Republican,regular,7533,13728
Alabama,cherokee,Ron Crumpton,Democratic,absentee,91,10558
Alabama,cherokee,Richard C. Shelby,Republican,absentee,343,10558
Alabama,cherokee,Write in,Other,regular,7,10558
Alabama,cherokee,Ron Crumpton,Democratic,regular,1824,10558
Alabama,cherokee,Richard C. Shelby,Republican,regular,8293,10558
Alabama,chilton,Ron Crumpton,Democratic,absentee,385,17934
Alabama,chilton,Richard C. Shelby,Republican,absentee,464,17934
Alabama,chilton,Write in,Other,regular,25,17934
Alabama,chilton,Ron Crumpton,Democratic,regular,2942,17934
Alabama,chilton,Richard C. Shelby,Republican,regular,14118,17934
Alabama,choctaw,Ron Crumpton,Democratic,absentee,139,7035
Alabama,choctaw,Richard C. Shelby,Republican,absentee,221,7035
Alabama,choctaw,Write in,Other,regular,8,7035
Alabama,choctaw,Ron Crumpton,Democratic,regular,2853,7035
Alabama,choctaw,Richard C. Shelby,Republican,regular,3814,7035
Alabama,clarke,Ron Crumpton,Democratic,absentee,258,12730
Alabama,clarke,Richard C. Shelby,Republican,absentee,363,12730
Alabama,clarke,Write in,Other,regular,14,12730
Alabama,clarke,Ron Crumpton,Democratic,regular,5300,12730
Alabama,clarke,Richard C. Shelby,Republican,regular,6795,12730
Alabama,clay,Ron Crumpton,Democratic,absentee,76,6528
Alabama,clay,Richard C. Shelby,Republican,absentee,276,6528
Alabama,clay,Write in,Other,regular,4,6528
Alabama,clay,Ron Crumpton,Democratic,regular,1301,6528
Alabama,clay,Richard C. Shelby,Republican,regular,4871,6528
Alabama,cleburne,Write in,Other,absentee,1,6407
Alabama,cleburne,Ron Crumpton,Democratic,absentee,46,6407
Alabama,cleburne,Richard C. Shelby,Republican,absentee,205,6407
Alabama,cleburne,Write in,Other,regular,5,6407
Alabama,cleburne,Ron Crumpton,Democratic,regular,801,6407
Alabama,cleburne,Richard C. Shelby,Republican,regular,5349,6407
Alabama,coffee,Write in,Other,absentee,1,20292
Alabama,coffee,Ron Crumpton,Democratic,absentee,196,20292
Alabama,coffee,Richard C. Shelby,Republican,absentee,667,20292
Alabama,coffee,Write in,Other,regular,48,20292
Alabama,coffee,Ron Crumpton,Democratic,regular,4302,20292
Alabama,coffee,Richard C. Shelby,Republican,regular,15078,20292
Alabama,colbert,Write in,Other,absentee,2,24337
Alabama,colbert,Ron Crumpton,Democratic,absentee,325,24337
Alabama,colbert,Richard C. Shelby,Republican,absentee,581,24337
Alabama,colbert,Write in,Other,regular,26,24337
Alabama,colbert,Ron Crumpton,Democratic,regular,8118,24337
Alabama,colbert,Richard C. Shelby,Republican,regular,15285,24337
Alabama,conecuh,Ron Crumpton,Democratic,absentee,205,6311
Alabama,conecuh,Richard C. Shelby,Republican,absentee,105,6311
Alabama,conecuh,Write in,Other,regular,7,6311
Alabama,conecuh,Ron Crumpton,Democratic,regular,2801,6311
Alabama,conecuh,Richard C. Shelby,Republican,regular,3193,6311
Alabama,coosa,Ron Crumpton,Democratic,absentee,43,5174
Alabama,coosa,Richard C. Shelby,Republican,absentee,123,5174
Alabama,coosa,Write in,Other,regular,8,5174
Alabama,coosa,Ron Crumpton,Democratic,regular,1745,5174
Alabama,coosa,Richard C. Shelby,Republican,regular,3255,5174
Alabama,covington,Write in,Other,absentee,1,15466
Alabama,covington,Ron Crumpton,Democratic,absentee,97,15466
Alabama,covington,Richard C. Shelby,Republican,absentee,614,15466
Alabama,covington,Write in,Other,regular,35,15466
Alabama,covington,Ron Crumpton,Democratic,regular,2643,15466
Alabama,covington,Richard C. Shelby,Republican,regular,12076,15466
Alabama,crenshaw,Ron Crumpton,Democratic,absentee,43,6137
Alabama,crenshaw,Richard C. Shelby,Republican,absentee,161,6137
Alabama,crenshaw,Write in,Other,regular,11,6137
Alabama,crenshaw,Ron Crumpton,Democratic,regular,1691,6137
Alabama,crenshaw,Richard C. Shelby,Republican,regular,4231,6137
Alabama,cullman,Write in,Other,absentee,5,37265
Alabama,cullman,Ron Crumpton,Democratic,absentee,246,37265
Alabama,cullman,Richard C. Shelby,Republican,absentee,1030,37265
Alabama,cullman,Write in,Other,regular,52,37265
Alabama,cullman,Ron Crumpton,Democratic,regular,4961,37265
Alabama,cullman,Richard C. Shelby,Republican,regular,30971,37265
Alabama,dale,Write in,Other,absentee,4,18335
Alabama,dale,Ron Crumpton,Democratic,absentee,188,18335
Alabama,dale,Richard C. Shelby,Republican,absentee,610,18335
Alabama,dale,Write in,Other,regular,54,18335
Alabama,dale,Ron Crumpton,Democratic,regular,4437,18335
Alabama,dale,Richard C. Shelby,Republican,regular,13042,18335
Alabama,dallas,Ron Crumpton,Democratic,absentee,539,18447
Alabama,dallas,Richard C. Shelby,Republican,absentee,315,18447
Alabama,dallas,Write in,Other,regular,14,18447
Alabama,dallas,Ron Crumpton,Democratic,regular,11841,18447
Alabama,dallas,Richard C. Shelby,Republican,regular,5738,18447
Alabama,dekalb,Write in,Other,absentee,2,25568
Alabama,dekalb,Ron Crumpton,Democratic,absentee,213,25568
Alabama,dekalb,Richard C. Shelby,Republican,absentee,686,25568
Alabama,dekalb,Write in,Other,regular,26,25568
Alabama,dekalb,Ron Crumpton,Democratic,regular,4614,25568
Alabama,dekalb,Richard C. Shelby,Republican,regular,20027,25568
Alabama,elmore,Write in,Other,absentee,3,36526
Alabama,elmore,Ron Crumpton,Democratic,absentee,470,36526
Alabama,elmore,Richard C. Shelby,Republican,absentee,901,36526
Alabama,elmore,Write in,Other,regular,99,36526
Alabama,elmore,Ron Crumpton,Democratic,regular,8363,36526
Alabama,elmore,Richard C. Shelby,Republican,regular,26690,36526
Alabama,escambia,Write in,Other,absentee,6,14935
Alabama,escambia,Ron Crumpton,Democratic,absentee,215,14935
Alabama,escambia,Richard C. Shelby,Republican,absentee,779,14935
Alabama,escambia,Write in,Other,regular,17,14935
Alabama,escambia,Ron Crumpton,Democratic,regular,4502,14935
Alabama,escambia,Richard C. Shelby,Republican,regular,9416,14935
Alabama,etowah,Write in,Other,absentee,3,43506
Alabama,etowah,Ron Crumpton,Democratic,absentee,447,43506
Alabama,etowah,Richard C. Shelby,Republican,absentee,1068,43506
Alabama,etowah,Write in,Other,regular,81,43506
Alabama,etowah,Ron Crumpton,Democratic,regular,11534,43506
Alabama,etowah,Richard C. Shelby,Republican,regular,30373,43506
Alabama,fayette,Write in,Other,absentee,1,8065
Alabama,fayette,Ron Crumpton,Democratic,absentee,60,8065
Alabama,fayette,Richard C. Shelby,Republican,absentee,177,8065
Alabama,fayette,Write in,Other,regular,12,8065
Alabama,fayette,Ron Crumpton,Democratic,regular,1437,8065
Alabama,fayette,Richard C. Shelby,Republican,regular,6378,8065
Alabama,franklin,Ron Crumpton,Democratic,absentee,110,11534
Alabama,franklin,Richard C. Shelby,Republican,absentee,349,11534
Alabama,franklin,Write in,Other,regular,14,11534
Alabama,franklin,Ron Crumpton,Democratic,regular,2740,11534
Alabama,franklin,Richard C. Shelby,Republican,regular,8321,11534
Alabama,geneva,Ron Crumpton,Democratic,absentee,67,11437
Alabama,geneva,Richard C. Shelby,Republican,absentee,311,11437
Alabama,geneva,Write in,Other,regular,28,11437
Alabama,geneva,Ron Crumpton,Democratic,regular,1736,11437
Alabama,geneva,Richard C. Shelby,Republican,regular,9295,11437
Alabama,greene,Ron Crumpton,Democratic,absentee,217,4754
Alabama,greene,Richard C. Shelby,Republican,absentee,22,4754
Alabama,greene,Write in,Other,regular,3,4754
Alabama,greene,Ron Crumpton,Democratic,regular,3616,4754
Alabama,greene,Richard C. Shelby,Republican,regular,896,4754
Alabama,hale,Ron Crumpton,Democratic,absentee,248,7861
Alabama,hale,Richard C. Shelby,Republican,absentee,104,7861
Alabama,hale,Write in,Other,regular,5,7861
Alabama,hale,Ron Crumpton,Democratic,regular,4402,7861
Alabama,hale,Richard C. Shelby,Republican,regular,3102,7861
Alabama,henry,Write in,Other,absentee,1,7895
Alabama,henry,Ron Crumpton,Democratic,absentee,151,7895
Alabama,henry,Richard C. Shelby,Republican,absentee,278,7895
Alabama,henry,Write in,Other,regular,22,7895
Alabama,henry,Ron Crumpton,Democratic,regular,2215,7895
Alabama,henry,Richard C. Shelby,Republican,regular,5228,7895
Alabama,houston,Write in,Other,absentee,8,41833
Alabama,houston,Ron Crumpton,Democratic,absentee,453,41833
Alabama,houston,Richard C. Shelby,Republican,absentee,1479,41833
Alabama,houston,Write in,Other,regular,112,41833
Alabama,houston,Ron Crumpton,Democratic,regular,10766,41833
Alabama,houston,Richard C. Shelby,Republican,regular,29015,41833
Alabama,jackson,Ron Crumpton,Democratic,absentee,186,20260
Alabama,jackson,Richard C. Shelby,Republican,absentee,568,20260
Alabama,jackson,Write in,Other,regular,20,20260
Alabama,jackson,Ron Crumpton,Democratic,regular,4338,20260
Alabama,jackson,Richard C. Shelby,Republican,regular,15148,20260
Alabama,jefferson,Write in,Other,regular,434,300348
Alabama,jefferson,Ron Crumpton,Democratic,regular,150464,300348
Alabama,jefferson,Richard C. Shelby,Republican,regular,139436,300348
Alabama,jefferson,Write in,Other,absentee,17,300348
Alabama,jefferson,Ron Crumpton,Democratic,absentee,5631,300348
Alabama,jefferson,Richard C. Shelby,Republican,absentee,4366,300348
Alabama,lamar,Ron Crumpton,Democratic,absentee,56,6757
Alabama,lamar,Richard C. Shelby,Republican,absentee,269,6757
Alabama,lamar,Write in,Other,regular,4,6757
Alabama,lamar,Ron Crumpton,Democratic,regular,1068,6757
Alabama,lamar,Richard C. Shelby,Republican,regular,5360,6757
Alabama,lauderdale,Write in,Other,absentee,1,38787
Alabama,lauderdale,Ron Crumpton,Democratic,absentee,606,38787
Alabama,lauderdale,Richard C. Shelby,Republican,absentee,1349,38787
Alabama,lauderdale,Write in,Other,regular,42,38787
